aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id,brand_name,in_stock,alternate_image,alternate_image_two,alternate_image_four,large_image,alternate_image_three,category,
https://www.awin1.com/pclick.php?p=45271468012&a=2771700&m=99689,Chicco Next2Me Evo & Essential Replacement Mattress,45271468012,87103100000,https://images.shopcdn.co.uk/09/60/0960cbaaa48a45abdbd17ddc5fc9a3c2/512x512/png/fit/0960cbaaa48a45abdbd17ddc5fc9a3c2.jpeg?quality=80&compression=80,"CHICCO NEXT2ME EVO ESSENTIAL REPLACEMENT MATTRESS ORIGINAL OFFICIAL CHICCO ACCESSORY The Chicco Next2Me Replacement Mattress is the original and Official mattress from Chicco. Give your child the most comfortable and best night s sleep possible. PRACTICAL AND EASY TO CLEAN The mattress cover is made of resistant fabric and is completely removable and washable. The padding can also be removed, and hand washed in cold water for easy cleaning. IMPROVED POSTURE SUPPORT The transpirable mattress allows air to easily pass through it, helping reduce sweating and provide enhanced posture support. A comfortable night s sleep guaranteed. LIVE. LOVE IT WITH CHICCO We ve been there and seen it all here at Chicco. For over 60 years we ve made the journey of parenthood smoother. Parents, parents to be and caregivers we listened! Our expertly crafted, innovative tools will help the needs of you and your children. If you feel it s time to change mattresses, then the Official Chicco Next2Me replacement mattress is just what you need. It s compatible with all Chicco Next2Me models (except for Next2Me Forever). Simply remove the wooden panel from your existing Chicco Next2Me mattress and insert into the new replacement mattress. It s a good night s sleep guaranteed. We always recommend you check your crib or cot s mattress doesn't sag and lies flat with no tears or holes. It s also important to keep it clean and dry for your baby s comfort, with frequent mattress changes for each baby to ensure overall safety. If your Next2Me bedside cot needs a new mattress, it s advised to use the Chicco original and official replacement. The official Chicco Next2Me Mattress replacement fits all Chicco Next2Me models (except for Next2Me Forever). Simply remove the wooden panel from your existing Chicco Next2Me mattress and insert into the new replacement mattress. Ensure the Velcro is sealed once changed and place the new mattress back into the crib. The mattress cover is made of resistant fabric and is completely removable and washable. The padding can also be hand washed in cold water for easy cleaning. It s a good night s sleep guaranteed.",2696,54.9,Chicco,99689,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aimages.shopcdn.co.uk%2F09%2F60%2F0960cbaaa48a45abdbd17ddc5fc9a3c2%2F512x512%2Fpng%2Ffit%2F0960cbaaa48a45abdbd17ddc5fc9a3c2.jpeg%3Fquality%3D80%26compression%3D80&feedId=98835&k=41e185966a5e772cf12feeae4bea1fa47d47b6ef,GBP,,,https://www.chicco.co.uk/mattresses/chicco-next2me-evo-essential-replacement-mattress-none-00087103100000,,,£54.90,98835,Chicco,1,,,,,39678786224,1,0
https://www.awin1.com/pclick.php?p=40991355950&a=2771700&m=99689,Chicco Next2Me Magic Evo Starter Bundle in Dark Grey,40991355950,CHICCOBUNDLE09,https://images.shopcdn.co.uk/e5/b4/e5b4a7168cee50ad93f696b930bc3b9f/512x512/png/fit/e5b4a7168cee50ad93f696b930bc3b9f.jpeg?quality=80&compression=80,"CHICCO NEXT2ME MAGIC EVO STARTER BUNDLE IN DARK GREY BEDSIDE CRIB STARTER BUNDLE, CO SLEEPING STARTER BUNDLE, BEDSIDE CRIB STARTER SET CHICCO NEXT2ME MAGIC EVO STARTER BUNDLE The Next2Me Magic Evo Starter Bundle has everything your little one needs to enjoy the perfect night s sleep all in one convenient, cost saving collection. MAGIC EVO BEDSIDE CRIB The Chicco Next2Me Dream Evo can be used as a standalone crib but also easily attaches to the bed, so your baby sleeps safely and comfortably by your side. It features 11 adjustable heights, complete with 4 tilt options that aid digestion and breathing. HYGIENIC TERRY MATTRESS COVER Made from a breathable, extra absorbent cotton, the Chicco mattress protector provides efficient air circulation to create a comfortably cool and dry night s sleep for your little one. It has highly resistant fabric and is completely removable so can be machine washed for easy cleaning. CRIB 2 PIECE SET (2 SHEETS) This set of fitted sheets are made with 100 woven cotton and offer the unique ability to aid temperature regulation, so your baby has a comfortably cool night s sleep. LIVE IT. LOVE IT WITH CHICCO We ve been there and seen it all here at Chicco. For over 60 years we ve made the journey of parenthood smoother. Parents, parents to be and caregivers we listened! Our expertly crafted, innovative tools will help the needs of you and your children. 3 YEAR GUARANTEE Comes with standard 1 year guarantee. Register for additional 2 years. The Next2Me Magic Evo Starter Bundle has everything your little one needs to enjoy the perfect night s sleep, all in one convenient and cost saving collection. This bundle includes the dark grey Chicco Next2Me Magic Evo, which can be used as a standalone crib but also easily attaches to the bed, so your baby sleeps safely and comfortably by your side. It features 11 adjustable heights, complete with 4 tilt options that aid digestion and breathing. You also get the white hygienic terry mattress cover, which is made from a breathable, extra absorbent cotton, to provide efficient air circulation for a comfortably cool and dry night s sleep for your little one. It has highly resistant fabric and is completely removable so can be machine washed for easy cleaning. The Grey Fox 2 piece set of fitted sheets are made with 100 cotton and offer the unique ability to aid temperature regulation, so your baby has a comfortably cool night s sleep.",6394,243.8,Chicco,99689,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aimages.shopcdn.co.uk%2Fe5%2Fb4%2Fe5b4a7168cee50ad93f696b930bc3b9f%2F512x512%2Fpng%2Ffit%2Fe5b4a7168cee50ad93f696b930bc3b9f.jpeg%3Fquality%3D80%26compression%3D80&feedId=98835&k=4a35fc394543c0c8b83e30b103d2fb1b364434dc,GBP,,,https://www.chicco.co.uk/sleeping/chicco-next2me-magic-evo-starter-bundle-in-dark-grey-none-chiccobundle09,,,£243.80,98835,Chicco,1,,,,,43674455216,1,0
https://www.awin1.com/pclick.php?p=43674455216&a=2771700&m=99689,Chicco Baby Hug 4-in-1 Armonia,43674455216,7087157610000,https://images.shopcdn.co.uk/54/c6/54c60e13df563f5bb4a93231787c599d/512x512/png/fit/54c60e13df563f5bb4a93231787c599d.jpeg?quality=80&compression=80,"CHICCO BABY HUG 4 IN 1 ARMONIA ALWAYS CLOSE TO YOUR LITTLE ONE IT GROWS WITH YOUR LITTLE ONE From cosy newborn crib to a recliner, practical highchair and toddler first chair, the Chicco Baby Hug 4 in 1 Armonia grows with your little one. Suitable from birth up to 3 years, it s with your family every step of the way. KEEP THEM CLOSE REASSURED A simple foot pedal lets you raise or lower the baby crib recliner highchair to the perfect height, allowing you to maintain reassuring eye contact and keep baby close to you at all times. NAP, RELAX ENJOY This newborn to toddler chair features multiple recline options, helping little ones nap, relax, or enjoy playtime in comfort. Adjusting the angle is also helpful in relieving reflux and nasal congestion. COMFORT PLAY Multiple recline options help your little ones nap, relax, and enjoy playtime comfortably with different angles to ease reflux and nasal congestion. The Montessori inspired toy bar with wooden and soft toys encourages curiosity, while keeping baby entertained. LIVE IT. LOVE IT WITH CHICCO We ve been there and seen it all here at Chicco. For over 60 years we ve made the journey of parenthood smoother. Parents, parents to be and caregivers we listened! Our expertly crafted, innovative tools will help the needs of you and your children. 3 YEAR GUARANTEE Comes with standard 1 year guarantee. Register for additional 2 years. The Chicco Baby Hug 4 in 1 Armonia is an all in one solution for your growing little one. Suitable from birth up to 3 years, it easily transforms from a newborn crib to a recliner, highchair, and toddler first chair. With multiple height adjustments, lockable wheels for added safety, a reclining backrest, and Montessori inspired toy bar with wooden and soft toys, it keeps your baby entertained, comfortable and close throughout the day. It s an essential for any family. The Chicco Baby Hug 4 in 1 Armonia is an all in one solution for your growing little one. Suitable from birth up to 3 years, it s designed to create comfort throughout the day, transforming effortlessly from a secure crib for newborn naps to a soothing recliner for early playtime. When mealtime begins, it then becomes a practical highchair, before transitioning into a first chair for toddlers. A simple foot pedal allows smooth height adjustment, helping you maintain eye contact with your baby whether you re sitting on the sofa or preparing meals. The multi position reclining backrest ensures comfort during naps, feeding, and play, while also helping relieve reflux and nasal congestion. The included Montessori inspired toy bar with wooden and soft toys keeps little ones engaged and stimulated. With four swivelling wheels and secure brakes, this newborn to toddler chair moves with you from room to room, making daily routines easier. The wood effect legs and stylish colours blend beautifully with contemporary interiors, while removable, machine washable fabrics keep things fresh.",6393,199,Chicco,99689,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aimages.shopcdn.co.uk%2F54%2Fc6%2F54c60e13df563f5bb4a93231787c599d%2F512x512%2Fpng%2Ffit%2F54c60e13df563f5bb4a93231787c599d.jpeg%3Fquality%3D80%26compression%3D80&feedId=98835&k=ece704c911da2d9305ec563ad18d1352069c4434,GBP,,,https://www.chicco.co.uk/cribs/chicco-baby-hug-4-in-1-armonia-none-07087157610000,,,£199.00,98835,Chicco,1,,,,,43809623952,1,1
https://www.awin1.com/pclick.php?p=42623594087&a=2771700&m=99689,Next2Me Cotton Crib Set 2 Pieces - Confetti,42623594087,9101127210990,https://images.shopcdn.co.uk/11/c0/11c0da040a0d4c6456bf41284f9f5336/512x512/png/fit/11c0da040a0d4c6456bf41284f9f5336.jpeg?quality=80&compression=80,"NEXT2ME COTTON CRIB SET 2 PIECES CONFETTI A COMFORTABLE NIGHT S SLEEP GUARANTEED ORIGINAL OFFICIAL CHICCO ACCESSORY These Chicco Next2Me fitted sheets are the only original and official ones from Chicco. Give your child the most comfortable and best night s sleep. FOR A COOLER NIGHT S SLEEP Made with 100 woven cotton, these sheets offer the unique ability to aid temperature regulation to ensure your baby has a comfortably cool night s sleep. PRACTICAL AND EASY TO CLEAN These fitted sheets are machine washable at 40 C, without worries of colours fading. They can also be ironed. ENJOY 2 DIFFERENT LOOKS The set contains two sheets, so you always have one available while the other is being washed. One is cotton and the other confetti for added variety. LIVE. LOVE IT WITH CHICCO We ve been there and seen it all here at Chicco. For over 60 years we ve made the journey of parenthood smoother. Parents, parents to be and caregivers we listened! Our expertly crafted, innovative tools will help the needs of you and your children. It is recommended to frequently wash baby bedding, even when it doesn't have visible stains, as it may contain dust and dirt that can irritate the skin, or leaks that can't be seen with the naked eye. The Chicco Next 2 Me Fitted Sheets are sold in a box of two, so you always have an available one while you wash the other. These Chicco Next2Me fitted sheets are the only original and official ones from Chicco that fit all the Next2Me models. They are machine washable at 40 C without worries of colours fading and can be ironed too. These baby cot sheets are made from 100 cotton, which offers the unique ability to aid temperature regulation, helping keep your little one s sleep surface cool and hygienic. A comfortable night s sleep guaranteed.",2314,24.9,Chicco,99689,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aimages.shopcdn.co.uk%2F11%2Fc0%2F11c0da040a0d4c6456bf41284f9f5336%2F512x512%2Fpng%2Ffit%2F11c0da040a0d4c6456bf41284f9f5336.jpeg%3Fquality%3D80%26compression%3D80&feedId=98835&k=c961626ab89fa6b1797e01f40800e71ae8f8905b,GBP,,,https://www.chicco.co.uk/crib-sheets/next2me-cotton-crib-set-2-pieces-confetti-none-09101127210990,,,£24.90,98835,Chicco,1,,,,,43880755195,1,0
https://www.awin1.com/pclick.php?p=40189741198&a=2771700&m=99689,Chicco Next2Me Forever Replacement Mattress,40189741198,6087039000930,https://images.shopcdn.co.uk/3c/08/3c08368d97436a35a3bf714d3ea670ad/512x512/png/fit/3c08368d97436a35a3bf714d3ea670ad.jpeg?quality=80&compression=80,"CHICCO NEXT2ME FOREVER REPLACEMENT MATTRESS ORIGINAL OFFICIAL CHICCO ACCESSORY The Chicco Next2Me Forever replacement mattress is the original and official mattress from Chicco. Give your child the most comfortable and best night s sleep possible. PRACTICAL AND EASY TO CLEAN The padding can be removed, and hand washed in cold water for easy cleaning. IMPROVED POSTURE SUPPORT The transpirable mattress allows air to easily pass through it, helping reduce sweating and provide enhanced posture support. A comfortable night s sleep guaranteed. LIVE. LOVE IT WITH CHICCO We ve been there and seen it all here at Chicco. For over 60 years we ve made the journey of parenthood smoother. Parents, parents to be and caregivers we listened! Our expertly crafted, innovative tools will help the needs of you and your children. We always recommend you check your crib or cot s mattress doesn't sag and lies flat with no tears or holes. It s also important to keep it clean and dry for your baby s comfort, with frequent mattress changes for each baby to ensure overall safety. If your Nex2Me Forever bedside cot needs a new mattress, it s advised to use the Chicco original and official replacement. This mattress is only compatible with the Chicco Next2Me Forever cot and perfectly fits the Chicco Next2Me Forever Cot sheets and mattress protectors (sold separately). It allows air to pass through to reduce sweating, so your baby enjoys a comfortably cool night s sleep. The mattress cover is made of resistant fabric and is completely removable and washable. The padding can also be hand washed in cold water for easy cleaning. It s a good night s sleep guaranteed.",2696,89,Chicco,99689,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aimages.shopcdn.co.uk%2F3c%2F08%2F3c08368d97436a35a3bf714d3ea670ad%2F512x512%2Fpng%2Ffit%2F3c08368d97436a35a3bf714d3ea670ad.jpeg%3Fquality%3D80%26compression%3D80&feedId=98835&k=21b5b479c76acf6945cf059f5d7c8b06a7b4d459,GBP,,,https://www.chicco.co.uk/mattresses/chicco-next2me-forever-replacement-mattress-none-06087039000930,,,£89.00,98835,Chicco,1,,,,,43845390592,1,0
https://www.awin1.com/pclick.php?p=43809623952&a=2771700&m=99689,Chicco Newborn Essentials Bath Bundle,43809623952,CHICCOSKIN001,https://images.shopcdn.co.uk/ab/37/ab37200c482b53ae0eecf38a400cffc6/512x512/png/fit/ab37200c482b53ae0eecf38a400cffc6.png?quality=80&compression=80,"CHICCO NEWBORN ESSENTIALS BATH BUNDLE Created especially for baby s earliest days, the Chicco Newborn Essentials Bath Bundle is a gentle, everyday skincare routine designed to care for your little one s delicate skin from head to toe. Exclusive to the Chicco website, our carefully curated bundle brings together three trusted favourites to make bath time calming, simple and reassuring for you and your baby. WHAT S INCLUDED IN THE BUNDLE? CHICCO SHAMPOO BODY WASH 500ML A gentle 2 in 1 formula that cleanses hair and skin without drying or irritation. Enriched with calendula extract to help soothe delicate skin and vegetable glycerine to support natural hydration, it leaves baby s skin soft and hair silky smooth. The tear free formula is dermatologically and ophthalmologically tested, so suitable for use from their very first bath. CHICCO BABY MOMENTS HEAD TO TOE MICELLAR BATH WASH 500ML This plant based micellar wash gently removes impurities using tiny cleansing micelles, helping lift away dirt, oil and impurities without rubbing or disrupting their skin s natural balance. With 94 natural origin ingredients, including cottonseed oil, Vitamin E and Pro Vitamin B5, this bath wash helps maintain hydration while being kind to even the most sensitive newborn skin. CHICCO BABY MOMENTS BODY LOTION SENSITIVE 500ML Perfect for after bath time, this lightweight lotion provides long lasting moisture while being quickly absorbed and non greasy. Free from dyes and formulated for sensitive skin, it s made using 97 natural origin ingredients keeping baby s skin soft, smooth, and comfortably nourished every day. ENVIRONMENTALLY FRIENDLY All packaging in this Chicco Newborn Essentials Bath Bundle is made from 100 recycled and recyclable plastic. It s not just care for your little one s delicate skin; it s also kind to the planet.",4678,24,Chicco,99689,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aimages.shopcdn.co.uk%2Fab%2F37%2Fab37200c482b53ae0eecf38a400cffc6%2F512x512%2Fpng%2Ffit%2Fab37200c482b53ae0eecf38a400cffc6.png%3Fquality%3D80%26compression%3D80&feedId=98835&k=30fb5071a84db35545faeb81921838c8241687af,GBP,,,https://www.chicco.co.uk/skincare/chicco-newborn-essentials-bath-bundle-none-chiccoskin001,,,£24.00,98835,Chicco,1,,,,,44684304278,1,1
https://www.awin1.com/pclick.php?p=43880755195&a=2771700&m=99689,Chicco Sensitive Skin Rescue Bundle,43880755195,CHICCOSKIN005,https://images.shopcdn.co.uk/5f/b4/5fb47b36d286194c4cc0a273490bbdbe/512x512/png/fit/5fb47b36d286194c4cc0a273490bbdbe.png?quality=80&compression=80,"CHICCO SENSITIVE SKIN RESCUE BUNDLE Designed for babies with extra delicate or reactive skin, the Chicco Sensitive Skin Rescue Bundle combines calming, gentle formulas to cleanse, hydrate, and comfort from head to toe. Available exclusively to the Chicco website, our essential bundle supports parents with products crafted for sensitive skin needs. WHAT S INCLUDED IN THE BUNDLE? Chicco Sensitive Baby Wipes 72 Pieces These soft and gentle wipes are delicately formulated to help clean your little one s skin without irritation perfect for quick fresh ups during nappy changes or sudden messes arise. The wipes are kind to sensitive skin and provide a soothing touch whenever it s needed. Chicco Baby Moments Body Lotion Sensitive 500ml Perfect for after bath time, this lightweight lotion provides long lasting moisture while being quickly absorbed and non greasy. Free from dyes and formulated for sensitive skin, it s made using 97 natural origin ingredients keeping baby s skin soft, smooth and comfortably nourished every day. Chicco Baby Moments Head to Toe Micellar Bath Wash 500ml A gentle plant based micellar wash that cleanses skin thoroughly while maintaining its natural balance. With up to 94 naturally derived ingredients, cottonseed oil to soothe, Vitamin E to protect and Pro Vitamin B5 to soften, this wash is ideal for sensitive skin providing calming daily care from head to toe.",4678,21,Chicco,99689,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aimages.shopcdn.co.uk%2F5f%2Fb4%2F5fb47b36d286194c4cc0a273490bbdbe%2F512x512%2Fpng%2Ffit%2F5fb47b36d286194c4cc0a273490bbdbe.png%3Fquality%3D80%26compression%3D80&feedId=98835&k=d3319b96b9f73b1472eb90fa4f42b21dbedde556,GBP,,,https://www.chicco.co.uk/skincare/chicco-sensitive-skin-rescue-bundle-none-chiccoskin005,,,£21.00,98835,Chicco,1,,,,,43093152888,1,1
https://www.awin1.com/pclick.php?p=39678786224&a=2771700&m=99689,Chicco Next2Me Evo & Essential Anti-Allergy Mattress Cover,39678786224,9010956330990,https://images.shopcdn.co.uk/d9/85/d985053fb6e7e2a4d1e7997a981dc748/512x512/png/fit/d985053fb6e7e2a4d1e7997a981dc748.jpeg?quality=80&compression=80,"CHICCO NEXT2ME EVO ESSENTIAL ANTI ALLERGY MATTRESS COVER ORIGINAL OFFICIAL CHICCO ACCESSORY The Chicco Next2Me hygienic terry mattress cover is the original and official mattress cover from Chicco. Give your child the most comfortable and best night s sleep possible. FOR A COOLER NIGHT OF SLEEP Made from a breathable, extra absorbent cotton, this Chicco mattress protector provides efficient air circulation. It creates a comfortably cool and dry night s sleep for your little one. PRACTICAL AND EASY TO CLEAN The mattress cover is made of a highly resistant fabric and is completely removable. It s also machine washable so can be added with your regular laundry load for easy cleaning. ANTI ALLERGY MATTRESS COVER If your child suffers from allergies, this mattress cover is anti allergy. It keeps your mattress fresh for longer and protects it against bacteria, dust mites and other allergens. Ensuring a more comfortable night s sleep. LIVE. LOVE IT WITH CHICCO We ve been there and seen it all here at Chicco. For over 60 years we ve made the journey of parenthood smoother. Parents, parents to be and caregivers we listened! Our expertly crafted, innovative tools will help the needs of you and your children. A mattress protector is a very useful accessory to prevent dirt and moisture from degrading your mattress. The Chicco hygienical terry mattress cover for Next2Me is made from a breathable, extra absorbent cotton, creating a dry and safe sleeping environment for your little one. If your child suffers from allergies, this mattress cover is anti allergy. It keeps your mattress fresh for longer and protects it against bacteria, dust mites and other allergens. Ensuring a more comfortable night s sleep. The mattress cover is made of a highly resistant fabric and is completely removable. It s also machine washable so can be added with your regular laundry load for easy cleaning. Compatible with all the Next2Me models (Next2Me Forever cot excluded). Suitable for beds with these dimensions 50 x 83cm.",4452,19.9,Chicco,99689,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aimages.shopcdn.co.uk%2Fd9%2F85%2Fd985053fb6e7e2a4d1e7997a981dc748%2F512x512%2Fpng%2Ffit%2Fd985053fb6e7e2a4d1e7997a981dc748.jpeg%3Fquality%3D80%26compression%3D80&feedId=98835&k=b047a736542a30164eff0b4693488e71db6f13d1,GBP,,,https://www.chicco.co.uk/mattress-covers/chicco-terry-mattress-cover-none-09010956330990,,,£19.90,98835,Chicco,1,,,,,43093152893,1,1
https://www.awin1.com/pclick.php?p=40991355953&a=2771700&m=99689,Chicco Next2Me Essential Starter Bundle in Stone,40991355953,CHICCOBUNDLE12,https://images.shopcdn.co.uk/6a/71/6a71bc00ad40ef0f2863d9e71d399945/512x512/png/fit/6a71bc00ad40ef0f2863d9e71d399945.jpeg?quality=80&compression=80,"CHICCO NEXT2ME ESSENTIAL STARTER BUNDLE IN STONE CHICCO NEXT2ME ESSENTIAL STARTER BUNDLE The Next2Me Essential bundle is a complete collection of our sleeping essentials for your little one to enjoy the best night s sleep, all in one convenient, cost saving collection. NEXT2ME ESSENTIAL BEDSIDE CRIB The Chicco Next2Me Essential bedside crib is environmentally friendly, with 62 of the mattresses soft fabric being made of softgood fabric that s recycled polyester. It s simple harness system firmly attaches the crib to your bed, providing a guaranteed safe night s sleep for your little one and peace of mind for you. NIGHT BREEZE MATTRESS TOPPER Packed with dual layer protection, this cot mattress topper features a double layer of mesh and waterproof materials. This improves ventilation to reduce sweating, while keeping the mattress dry and clean. It s also made from a breathable, honeycomb material that provides efficient air circulation. Create a comfortably cool night s sleep for your little one. CRIB 2 PIECE SET (2 SHEETS) This set of fitted sheets are made with 100 cotton and offer the unique ability to aid temperature regulation, so your baby has a comfortably cool night s sleep. LIVE IT. LOVE IT WITH CHICCO We ve been there and seen it all here at Chicco. For over 60 years we ve made the journey of parenthood smoother. Parents, parents to be and caregivers we listened! Our expertly crafted, innovative tools will help the needs of you and your children. 3 YEAR GUARANTEE Comes with standard 1 year guarantee. Register for additional 2 years. The Next2Me Essential Starter Bundle is a complete collection of our sleeping essentials for your little one to enjoy the best night s sleep. The Next2Me Essential bedside crib is environmentally friendly, with 62 of the mattresses soft fabric made of recycled polyester. It s simple harness system firmly attaches the crib to your bed, providing a guaranteed safe night s sleep for your little one and peace of mind for you. The mattress topper features a double layer of mesh and waterproof materials, with a honeycomb material that provides efficient air circulation. The Grey Fox fitted sheets are 100 cotton with temperature regulation to keep baby comfortably cool. The Next2Me Essential Starter Bundle is a complete collection of our sleeping essentials for your little one to enjoy the best night s sleep. The bundle includes the Stone Re Lux Next2Me Essential bedside crib, which is environmentally friendly, with 62 of the crib s soft fabric being made of softgood fabric that s recycled polyester. It s simple harness system firmly attaches the crib to your bed, providing a guaranteed safe night s sleep for your little one and peace of mind for you. The mattress topper has dual layer protection, featuring a double layer of mesh and waterproof materials. This improves ventilation to reduce sweating, while keeping the mattress dry and clean. It s also made from a breathable, honeycomb material that provides efficient air circulation. Create a comfortably cool night s sleep for your little one. Also included in the bundle is a set of Grey Fox Fitted Sheets made with 100 cotton, offering the unique ability to aid temperature regulation, so your baby has a comfortably cool night s sleep.",6394,188.8,Chicco,99689,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aimages.shopcdn.co.uk%2F6a%2F71%2F6a71bc00ad40ef0f2863d9e71d399945%2F512x512%2Fpng%2Ffit%2F6a71bc00ad40ef0f2863d9e71d399945.jpeg%3Fquality%3D80%26compression%3D80&feedId=98835&k=7935954747afda7c52572d06008a22103c20c23e,GBP,,,https://www.chicco.co.uk/sleeping/chicco-next2me-essential-starter-bundle-in-stone-re-lux-none-chiccobundle12,,,£188.80,98835,Chicco,1,,,,,42403832356,1,0
https://www.awin1.com/pclick.php?p=45321913306&a=2771700&m=99689,Chicco Zen Wave Rocker in Wooden Grey,45321913306,8087091800930,https://images.shopcdn.co.uk/80/b3/80b380d8e87f933b3a2d6d738f4abb23/512x512/png/fit/80b380d8e87f933b3a2d6d738f4abb23.jpeg?quality=80&compression=80,"CHICCO ZEN WAVE ROCKER IN WOODEN GREY NATURAL AUTOMATICALLY ROCKS YOUR BABY The Zen Wave Rocker is powered by the baby. No batteries required, it rocks when your baby waves their arms and legs. This mimics the natural movements of when you hold them, helping to calm your little one. A STYLISH DESIGN FOR ANY HOME Featuring a calming neutral wood effect frame and quilted cotton seat, this baby recliner is designed to blend perfectly within any stylish home interior. ENDLESS ENTERTAINMENT This stylish Chicco baby rocker includes a detachable toy bar with 3 enchanting toys to endlessly soothe and entertain your little one. COMPACT WHEN NOT IN USE When not in use, the Zen Wave can be folded for hassle free storage and travel. With its slim fold, the baby bouncer will easily fit under most furniture giving you more floor space. EASY TO CLEAN SEAT COVER The seat cover is removable, making cleaning it a breeze. It s machine washable but can also be quickly cleaned using warm soapy water, so it s good to go again in no time. LIVE IT. LOVE IT WITH CHICCO We ve been there and seen it all here at Chicco. For 60 years we ve made the journey of parenthood smoother. Parents, parents to be and caregivers we listened! Our expertly crafted, innovative tools will help the needs of you and your children. 3 YEAR GUARANTEE Comes with standard 1 year guarantee. Register for additional 2 years. The Chicco Zen Wave Rocker is an innovative rocker that is powered by your baby. With no batteries or charging required, when your baby waves their arms and legs, they re gently rocked from side to side and up and down. It mimics the natural movements of when you hold them, keeping your little one relaxed. The calming neutral wood effect frame and soft textured quilted fabric seat cover design is inspired by stylish home interiors, blending seamlessly into your home. When not in use this rocker has a quick, slim fold and can be stored away under the sofa or a coffee table, giving you more floor space. It s also great for hassle free travel. The detachable toy bar includes 3 soft, charming toys that will engage baby, giving them visual stimulation while their eyes track the moving toys. Whether it s time for a play or quiet time, the Chicco Baby Zen Wave Rocker is the ideal solution to keep your baby relaxed and happy. It's suitable from birth to 9kg, approx. 6 months.",555,149,Chicco,99689,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Aimages.shopcdn.co.uk%2F80%2Fb3%2F80b380d8e87f933b3a2d6d738f4abb23%2F512x512%2Fpng%2Ffit%2F80b380d8e87f933b3a2d6d738f4abb23.jpeg%3Fquality%3D80%26compression%3D80&feedId=98835&k=5cebb9cddea8039e7a243f87e6ffb329e9cf95ca,GBP,,,https://www.chicco.co.uk/rockers-and-bouncers/zen-wave-rocker-wooden-grey-none-08087091800930,,,£149.00,98835,Chicco,1,,,,,45279659654,1,0
