aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id,brand_name,in_stock,alternate_image,alternate_image_two,alternate_image_four,large_image,alternate_image_three,category
https://www.awin1.com/pclick.php?p=43007249683&a=2771700&m=120946,Shnuggle Washy Bath Jug- White + Grey,43007249683,899UK,https://www.bundlebaby.com/Images/Models/Full/848.jpg,"The perfect bathtime accessory for all ages.  Create happy bathtimes with Washy, the clever rinsing bath jug from Shnuggle.  Designed with a soft rim to gently rest against the contour of baby's head, helping to direct water away from sensitive little eyes.     The soft feel handle allows you to comfortably rinse baby's hair and has been designed to neatly hook onto the Shnuggle Baby and Toddler baths for easy access and storage.",Bathing,7.95,Bundle Baby,120946,Baby Products,599,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.bundlebaby.com%2FImages%2FModels%2FFull%2F848.jpg&feedId=111176&k=55c17a93e05800493d3953dc92524218d34ae060,GBP,,4.95,https://www.bundlebaby.com/en/Shnuggle-Washy-Bath-Jug--White--Grey/m-848.aspx?PartnerID=578&utm_source=affiliate&utm_medium=affiliatewindow&utm_campaign=UnitedKingdom,,,£7.95,111176,Shnuggle,1,https://www.bundlebaby.com/Images/Models/Full/848-1.jpg,https://www.bundlebaby.com/Images/Models/Full/848-2.jpg,,https://www.bundlebaby.com/Images/Models/Original/848.jpg,,Washing Jug
https://www.awin1.com/pclick.php?p=43007249684&a=2771700&m=120946,Shnuggle Washy Bath Jug- Taupe,43007249684,900UK,https://www.bundlebaby.com/Images/Models/Full/849.jpg,"The perfect bathtime accessory for all ages.  Create happy bathtimes with Washy, the clever rinsing bath jug from Shnuggle.  Designed with a soft rim to gently rest against the contour of baby's head, helping to direct water away from sensitive little eyes.     The soft feel handle allows you to comfortably rinse baby's hair and has been designed to neatly hook onto the Shnuggle Baby and Toddler baths for easy access and storage.",Bathing,7.95,Bundle Baby,120946,Baby Products,599,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.bundlebaby.com%2FImages%2FModels%2FFull%2F849.jpg&feedId=111176&k=17db40bb5ead559bd0ba6f6b379800704ca11523,GBP,,4.95,https://www.bundlebaby.com/en/Shnuggle-Washy-Bath-Jug--Taupe/m-849.aspx?PartnerID=578&utm_source=affiliate&utm_medium=affiliatewindow&utm_campaign=UnitedKingdom,,,£7.95,111176,Shnuggle,1,https://www.bundlebaby.com/Images/Models/Full/849-1.jpg,https://www.bundlebaby.com/Images/Models/Full/849-2.jpg,,https://www.bundlebaby.com/Images/Models/Original/849.jpg,,Washing Jug
https://www.awin1.com/pclick.php?p=45174348127&a=2771700&m=120946,Shnuggle Washy Rinsing Jug- Eco,45174348127,6202UK,https://www.bundlebaby.com/Images/Models/Full/3686.jpg,"The Shnuggle Eco Washy Rinsing Jug, made from recycled materials, is a more sustainable choice for baby and toddler hair rinsing.  Washy is designed to provide a smooth, controlled pour for gentle rinsing.  The soft rim rests comfortably against baby's forehead, helping to direct water away from delicate eyes and ears.  Featuring an easy-grip handle and compact storage, this bath jug makes hair rinsing simple and stress free.    Key Features:       Flexible, soft rim for tear free rinsing   Comfortable, soft feel handle   Made from 98% recycled plastic   Hooks neatly onto the Shnuggle Bath   Unique cookies and cream colourway      Additional Information:       BPA and phthalate free   Made from 98% post consumer recycled plastic.  Plastics that have been collected, sorted and processed to be reused after its life as a consumer product.   All plastic content is 100% recycled. This accounts for 98% of the product   The remaining 2% is colourants, stabiliser, foam backrest and plug.   The product is also 100% recyclable   Tested to all relevant EU safety standards and EN71-3 and REACH",Bathing,8.95,Bundle Baby,120946,Baby Products,599,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.bundlebaby.com%2FImages%2FModels%2FFull%2F3686.jpg&feedId=111176&k=f0254b708e47fe647ef6e014baa42d491aacedcb,GBP,,4.95,https://www.bundlebaby.com/en/Shnuggle-Washy-Rinsing-Jug--Eco/m-3686.aspx?PartnerID=578&utm_source=affiliate&utm_medium=affiliatewindow&utm_campaign=UnitedKingdom,,,£8.95,111176,Shnuggle,1,https://www.bundlebaby.com/Images/Models/Full/3686-1.jpg,https://www.bundlebaby.com/Images/Models/Full/3686-2.jpg,,https://www.bundlebaby.com/Images/Models/Original/3686.jpg,,Washing Jug
https://www.awin1.com/pclick.php?p=43007249388&a=2771700&m=120946,Shnuggle Washy Bath Jug- Eucalyptus,43007249388,2274UK,https://www.bundlebaby.com/Images/Models/Full/1651.jpg,"The perfect bathtime accessory for all ages.  Create happy bathtimes with Washy, the clever rinsing bath jug from Shnuggle.  Designed with a soft rim to gently rest against the contour of baby's head, helping to direct water away from sensitive little eyes.     The soft feel handle allows you to comfortably rinse baby's hair and has been designed to neatly hook onto the Shnuggle Baby and Toddler baths for easy access and storage.     What's in the box?:       1x Shnuggle Washy Jug Eucalyptus      Match perfectly with the Shnuggle Eucalyptus Baby Bath and Eucalyptus Squishy Changing Mat, shop our full Shnuggle collection here.",Bathing,7.95,Bundle Baby,120946,Baby Products,599,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.bundlebaby.com%2FImages%2FModels%2FFull%2F1651.jpg&feedId=111176&k=e21239df8258c4e135a3ce63a49b3b178f0a4861,GBP,,4.95,https://www.bundlebaby.com/en/Shnuggle-Washy-Bath-Jug--Eucalyptus/m-1651.aspx?PartnerID=578&utm_source=affiliate&utm_medium=affiliatewindow&utm_campaign=UnitedKingdom,,,£7.95,111176,Shnuggle,1,https://www.bundlebaby.com/Images/Models/Full/1651-1.jpg,https://www.bundlebaby.com/Images/Models/Full/1651-2.jpg,https://www.bundlebaby.com/Images/Models/Full/1651-4.jpg,https://www.bundlebaby.com/Images/Models/Original/1651.jpg,,Washing Jug
https://www.awin1.com/pclick.php?p=43007249389&a=2771700&m=120946,Shnuggle Washy Bath Jug- Blossom,43007249389,2275UK,https://www.bundlebaby.com/Images/Models/Full/1652.jpg,"The perfect bathtime accessory for all ages.  Create happy bathtimes with Washy, the clever rinsing bath jug from Shnuggle.  Designed with a soft rim to gently rest against the contour of baby's head, helping to direct water away from sensitive little eyes.     The soft feel handle allows you to comfortably rinse baby's hair and has been designed to neatly hook onto the Shnuggle Baby and Toddler baths for easy access and storage.     What's in the box?:       1x Shnuggle Washy Jug Blossom      Match perfectly with the Shnuggle Blossom Baby Bath, shop our full Shnuggle collection here.",Bathing,7.95,Bundle Baby,120946,Baby Products,599,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.bundlebaby.com%2FImages%2FModels%2FFull%2F1652.jpg&feedId=111176&k=43f20691c806d6cdf69df40342090be78e4998a5,GBP,,4.95,https://www.bundlebaby.com/en/Shnuggle-Washy-Bath-Jug--Blossom/m-1652.aspx?PartnerID=578&utm_source=affiliate&utm_medium=affiliatewindow&utm_campaign=UnitedKingdom,,,£7.95,111176,Shnuggle,1,https://www.bundlebaby.com/Images/Models/Full/1652-1.jpg,https://www.bundlebaby.com/Images/Models/Full/1652-2.jpg,https://www.bundlebaby.com/Images/Models/Full/1652-4.jpg,https://www.bundlebaby.com/Images/Models/Original/1652.jpg,,Washing Jug
https://www.awin1.com/pclick.php?p=43477477914&a=2771700&m=6526,Shnuggle ECO Washy Rinsing Jug – Cookies &amp; Cream Baby Bath Accessory Soft Rim for Eyes &amp; Ears Easy to Hold Gentle Hair Wash for Newborns,43477477914,GB _GBP_52220591800657,https://cdn.shopify.com/s/files/1/0414/6023/6453/files/shnuggle-baby-care-shnuggle-eco-washy-rinsing-jug-cookies-cream-1200426210.jpg?v=1761763744,"Safe, comfy &amp; Eco-friendly – Where comfort meets conscience The Shnuggle Eco Washy Rinsing Jug, made from recycled plastic, is a more sustainable choice for baby and toddler hair rinsing. Washy is designed to provide a smooth, controlled pour for gentle rinsing. The soft rim rests comfortably against baby's forehead, helping to direct water away from delicate eyes and ears. Featuring an easy-grip handle and compact storage, this bath jug makes hair rinsing simple and stress free. Soft, flexible rim rests gently against baby’s forehead. Keeps water away from delicate eyes and ears for a calm, happy bath time. Made from 98% recycled plastic. Long-lasting, high-quality design that’s kinder to the planet. BPA free and non-toxic for peace of mind. Soft-feel, easy-grip handle for controlled pouring. Makes hair washing quick, simple, and stress free for parents. Hooks neatly onto Shnuggle Baby and Toddler Baths. Saves space and keeps bathroom tidy. Available in an exclusive Cookies &amp; Cream colourway to match the Eco Bathtime Collection. Age Suitability: 0 Months + Care &amp; Maintenance: Hand wash with soapy water Safety / Warnings: Never Leave Baby unsupervised with bathing. A Baby can drown in just 2cm of Water Standards UK / Europe: Fully tested to EN 17072:2018 Dimensions: Length 15cm X Width 10cm X Height 13cm Soft rim keeps water away from baby’s eyes and ears Made from 98% recycled plastic and baby-safe materials Easy-grip handle for smooth, gentle hair rinsing Baby &amp; Toddler &gt; Baby Bathing",,7.61,Mamas & Papas,6526,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0414%2F6023%2F6453%2Ffiles%2Fshnuggle-baby-care-shnuggle-eco-washy-rinsing-jug-cookies-cream-1200426210.jpg%3Fv%3D1761763744&feedId=112637&k=283a11e8027d8c9983f07ff0ee384562ab4d46bf,GBP,,4.95 GBP,https://www.mamasandpapas.com/products/shnuggle-eco-washy-jug-67792m800,,2026-08-06 14:04:57,£7.61,112637,Shnuggle,1,,,,,,Washing Jug
https://www.awin1.com/pclick.php?p=45255281031&a=2771700&m=6526,Shnuggle Washy Rinsing Jug - Taupe,45255281031,GB _GBP_54285809353041,https://cdn.shopify.com/s/files/1/0414/6023/6453/files/shnuggle-shnuggle-washy-rinsing-jug-taupe-1248874754.jpg?v=1784205610,"Create happy bath times with Washy, the clever rinsing bath jug from Shnuggle. Designed with a soft rim to gently rest against the contour of baby’s head, helping to direct water away from sensitive little eyes. The soft feel handle allows you to comfortably rinse baby’s hair and has been designed to neatly hook onto the Shnuggle Bath for easy access and storage. The perfect bathtime accessory for all ages. The Shnuggle Washy rinsing jug is designed with a soft rim to gently rest against the contour of baby’s head, helping to direct water away from sensitive little eyes. The soft feel handle allows you to comfortably rinse baby’s hair and is also designed to hook neatly onto the Shnuggle Bath for easy access and storage. It’s flat base also allows the jug to rest on other surfaces. Product Features Soft rim to gently rest on baby's head Easy grip handle Hooks neatly onto the Shnuggle Bath for storage and easy access Stands up when not in use Co-ordinates with the Shnuggle bathtime range Suitable to use from 0 months + Age Suitability: 0-24 months Care &amp; Maintenance: Dishwasher Safe Safety &amp; Warnings: Never leave baby unattended during bath time Assembled: 15 x 10 x 13 cm Folded: 15 x 13 x 9 cm Soft rim to gently rest on baby’s head Easy grip handle Suitable for babies and toddlers of any age Baby &amp; Toddler &gt; Baby Bathing",,6.59,Mamas & Papas,6526,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0414%2F6023%2F6453%2Ffiles%2Fshnuggle-shnuggle-washy-rinsing-jug-taupe-1248874754.jpg%3Fv%3D1784205610&feedId=112637&k=7bc6741438277b20f057e5a195fd7dd699b7b4c5,GBP,,4.95 GBP,https://www.mamasandpapas.com/products/shnuggle-washy-rinising-jug-677972200,,2026-08-06 15:53:05,£6.59,112637,Shnuggle,1,,,,,,Washing Jug
https://www.awin1.com/pclick.php?p=39333594327&a=2771700&m=64830,Shnuggle Washy Jug - Blossom,39333594327,49322-71407,https://cdn.shopify.com/s/files/1/0690/1977/files/shnuggle-washy-jug-blossom-flat.jpg?v=1731070173,"The Shnuggle Washy Jug in Blossom is a clever rinsing bath jug and ideal bathtime companion. The soft rim is specially designed to gently fit against your baby's head, guiding water away from those delicate little eyes. Plus, the comfy handle makes rinsing your baby's hair a breeze, and it conveniently hooks onto the Shnuggle Baby and Toddler baths for easy access and storage. Enjoy happy bathtimes together!",Bath & Body,6.76,Natural Baby Shower Ltd,64830,Baby Toys,412,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0690%2F1977%2Ffiles%2Fshnuggle-washy-jug-blossom-flat.jpg%3Fv%3D1731070173&feedId=89138&k=c66a2ef9f43ebd92acd289a46e921c121b9deaca,GBP,,,https://natural-baby-2.myshopify.com/products/shnuggle-washy-jug-blossom?variant=41984393216078,,,£6.76,89138,Shnuggle,1,https://cdn.shopify.com/s/files/1/0690/1977/files/shnuggle-washy-jug-blossom-lifestyle.jpg?v=1731070177,https://cdn.shopify.com/s/files/1/0690/1977/files/shnuggle-washy-jug-blossom-flat-2.jpg?v=1731070180,,,,Washing Jug
https://www.awin1.com/pclick.php?p=39333594332&a=2771700&m=64830,Shnuggle Washy Jug - Eucalyptus,39333594332,49322-71384,https://cdn.shopify.com/s/files/1/0690/1977/files/shnuggle-washy-jug-eucalyptus-flat-2.jpg?v=1731570064,"The Shnuggle Washy Jug in Eucalyptus is a clever rinsing bath jug and ideal bathtime companion. The soft rim is specially designed to gently fit against your baby's head, guiding water away from those delicate little eyes. Plus, the comfy handle makes rinsing your baby's hair a breeze, and it conveniently hooks onto the Shnuggle Baby and Toddler baths for easy access and storage. Enjoy happy bathtimes together!",Bath & Body,6.76,Natural Baby Shower Ltd,64830,Baby Toys,412,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0690%2F1977%2Ffiles%2Fshnuggle-washy-jug-eucalyptus-flat-2.jpg%3Fv%3D1731570064&feedId=89138&k=4178fb3f6cdce58a120b318af6cd8b3c71d28b15,GBP,,,https://natural-baby-2.myshopify.com/products/shnuggle-washy-jug-eucalyptus?variant=53556525760891,,,£6.76,89138,Shnuggle,1,https://cdn.shopify.com/s/files/1/0690/1977/files/shnuggle-washy-jug-eucalyptus-lifestyle.jpg?v=1731570068,https://cdn.shopify.com/s/files/1/0690/1977/files/shnuggle-washy-jug-eucalyptus-flat.jpg?v=1731570071,,,,Washing Jug
https://www.awin1.com/pclick.php?p=39025370614&a=2771700&m=64830,Shnuggle Washy Jug - White/Grey,39025370614,49322-70189,https://cdn.shopify.com/s/files/1/0690/1977/files/shnuggle-washy-jug-flat.jpg?v=1728444928,"The Shnuggle Washy Jug in White/Grey is the perfect bathtime accessory for all ages. Create happy bathtimes with Washy, the clever rinsing bath jug from Shnuggle. Designed with a soft rim to gently rest against the contour of baby's head, helping to direct water away from sensitive little eyes. The soft feel handle allows you to comfortably rinse baby's hair and has been designed to neatly hook onto the Shnuggle Baby and Toddler baths for easy access and storage.",Bath & Body,6.76,Natural Baby Shower Ltd,64830,Baby Toys,412,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn.shopify.com%2Fs%2Ffiles%2F1%2F0690%2F1977%2Ffiles%2Fshnuggle-washy-jug-flat.jpg%3Fv%3D1728444928&feedId=89138&k=dcc4d81e603eeec91c42102d342825ab5f742dda,GBP,,,https://natural-baby-2.myshopify.com/products/shnuggle-baby-bath-essentials-bundle-taupe-copy?variant=41855004901454,,,£6.76,89138,Shnuggle,1,https://cdn.shopify.com/s/files/1/0690/1977/files/BabyinBathwithmum-Square-HighRes.jpg?v=1728444933,https://cdn.shopify.com/s/files/1/0690/1977/files/WashyProductImage-CutOut-HighRes.jpg?v=1728291561,,,,Washing Jug
